id;nom;prenom;date_naissance;tel;numero_inscription
1;system;systems Seamless;2023-03-14;"+7246356422";synthesize teal
2;Avon Malaisie open-source;Handmade;2023-03-15;"0967472853";circuit cross-platform Hat
3;Buckinghamshire;functionalities Keyboard Bedfo;2023-03-14;"+9421990534";Small software 24/365
4;Administrateur Jordan;THX executive d'Azur;2023-03-14;"01939633779";Fresh
5;Slovénie;24/365 deposit;2023-03-15;"+321390307813";asynchronous asymmetric
6;Shoes b experiences;Tasty plum;2023-03-15;"0924867389";Kenyan tan Wooden
7;Ball;Generic;2023-03-14;"+20497937140";Afghanistan base
8;Chair Gorgeous;relationships;2023-03-15;"+11956776697";violet
9;b;c;2023-03-15;"+205431515027949";Account
10;Handmade value-added;transmit;2023-03-15;"+131363438297978";systematic
