id;nom;prenom;date_naissance;tel;numero_inscription;date_orientation
1;connect Granite;Profound coherent auxiliary;2023-03-15;"0350359117";extensible;2023-03-14
2;Steel didactic b;Licensed Mouse;2023-03-15;"02489364402";Organic silver;2023-03-14
3;initiatives olive THX;b productize;2023-03-14;"00735022375";Dollar Érythrée;2023-03-14
4;b digital orchid;Vaneau Outdoors invoice;2023-03-14;"07042761939";e-tailers;2023-03-14
5;Loti;withdrawal Frozen maximized;2023-03-14;"+192451270449163";Digitized Soft;2023-03-15
6;Baht;a silver c;2023-03-14;"0253228360";Movies users Awesome;2023-03-14
7;Stagiaire deposit c;open-source deliver;2023-03-15;"+83261809413766";navigate Saint-Jacques Wooden;2023-03-14
8;Tuna;deposit;2023-03-14;"0562917511";capacity;2023-03-15
9;engineer Shoes Berkshire;b;2023-03-14;"0139331127";Afghanistan;2023-03-14
10;hacking Money primary;Designer;2023-03-15;"00115607830";navigating;2023-03-14
